algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.189300,9635,8
QuickSort,random,1000,0.284100,11739,6
QuickSelect,random,1000,0.096300,4517,1
MergeSort,random,10000,3.449400,127041,11
QuickSort,random,10000,2.990600,157850,9
QuickSelect,random,10000,0.166600,26309,1
MergeSort,random,100000,25.979900,1639252,14
QuickSort,random,100000,21.391500,2094324,11
QuickSelect,random,100000,2.051900,386330,1
MergeSort,random,1000000,183.635700,19886588,18
QuickSort,random,1000000,233.794000,24773692,13
QuickSelect,random,1000000,23.218300,3377610,1
MergeSort,sorted,1000,0.033500,4236,8
QuickSort,sorted,1000,0.042300,12447,7
QuickSelect,sorted,1000,0.003700,2977,1
MergeSort,sorted,10000,0.561200,59248,11
QuickSort,sorted,10000,1.000400,157191,9
QuickSelect,sorted,10000,0.185600,38589,1
MergeSort,sorted,100000,5.601300,744016,14
QuickSort,sorted,100000,12.423100,2039667,11
QuickSelect,sorted,100000,1.964100,403052,1
MergeSort,sorted,1000000,82.777400,9071040,18
QuickSort,sorted,1000000,219.365700,25445400,13
QuickSelect,sorted,1000000,24.519000,3284873,1
MergeSort,duplicates,1000,0.087000,9140,8
QuickSort,duplicates,1000,0.060400,3135,2
QuickSelect,duplicates,1000,0.033700,1724,1
MergeSort,duplicates,10000,1.569900,121586,11
QuickSort,duplicates,10000,0.572500,35061,2
QuickSelect,duplicates,10000,0.410400,26183,1
MergeSort,duplicates,100000,11.699700,1561786,14
QuickSort,duplicates,100000,2.273800,310487,2
QuickSelect,duplicates,100000,1.409800,230021,1
MergeSort,duplicates,1000000,130.230200,18919820,18
QuickSort,duplicates,1000000,23.429400,2999997,3
QuickSelect,duplicates,1000000,21.713200,1599804,1
