algorithm,input,n,run,data_seed,pivot_seed,time_ns,time_ms,comparisons,max_depth
MergeSort,random,1000,1,33525,20108,189300,0.189300,9635,8
MergeSort,random,1000,2,33525,20109,190600,0.190600,9635,8
MergeSort,random,1000,3,33525,20110,187300,0.187300,9635,8
MergeSort,random,1000,4,33525,20111,185900,0.185900,9635,8
MergeSort,random,1000,5,33525,20112,220700,0.220700,9635,8
QuickSort,random,1000,1,33525,20108,284100,0.284100,11739,6
QuickSort,random,1000,2,33525,20109,251600,0.251600,11033,6
QuickSort,random,1000,3,33525,20110,362400,0.362400,11841,6
QuickSort,random,1000,4,33525,20111,655400,0.655400,11880,6
QuickSort,random,1000,5,33525,20112,251500,0.251500,10824,6
QuickSelect,random,1000,1,33525,20108,96300,0.096300,4517,1
QuickSelect,random,1000,2,33525,20109,146800,0.146800,2428,1
QuickSelect,random,1000,3,33525,20110,160100,0.160100,4779,1
QuickSelect,random,1000,4,33525,20111,69200,0.069200,3269,1
QuickSelect,random,1000,5,33525,20112,59900,0.059900,2934,1
MergeSort,random,10000,1,312525,173108,2243700,2.243700,127041,11
MergeSort,random,10000,2,312525,173109,2281700,2.281700,127041,11
MergeSort,random,10000,3,312525,173110,3449400,3.449400,127041,11
MergeSort,random,10000,4,312525,173111,4261400,4.261400,127041,11
MergeSort,random,10000,5,312525,173112,6016600,6.016600,127041,11
QuickSort,random,10000,1,312525,173108,1354900,1.354900,164529,8
QuickSort,random,10000,2,312525,173109,2935100,2.935100,155200,9
QuickSort,random,10000,3,312525,173110,2990600,2.990600,157850,9
QuickSort,random,10000,4,312525,173111,3207300,3.207300,168734,9
QuickSort,random,10000,5,312525,173112,3028500,3.028500,175413,8
QuickSelect,random,10000,1,312525,173108,288100,0.288100,46715,1
QuickSelect,random,10000,2,312525,173109,166600,0.166600,26309,1
QuickSelect,random,10000,3,312525,173110,154500,0.154500,23293,1
QuickSelect,random,10000,4,312525,173111,146800,0.146800,22656,1
QuickSelect,random,10000,5,312525,173112,227000,0.227000,35880,1
MergeSort,random,100000,1,3102525,1703108,27818800,27.818800,1639252,14
MergeSort,random,100000,2,3102525,1703109,27377700,27.377700,1639252,14
MergeSort,random,100000,3,3102525,1703110,25979900,25.979900,1639252,14
MergeSort,random,100000,4,3102525,1703111,11689100,11.689100,1639252,14
